,İlaç Adı
6249,rifoxtem 250mg+10mg/3ml enjeksiyonluk cozelti (1 ampul)
6250,rilace 10 mg 28 tablet
6251,rilace 20 mg 28 tablet
6252,rilace 5 mg 28 tablet
6253,rileptid 1 mg 20 tablet
6254,rileptid 1 mg 60 tablet
6255,rileptid 1 mg film kapli tablet (30 tablet)
6256,rileptid 2 mg 20 tablet
6257,rileptid 2 mg 60 tablet
6258,rileptid 2 mg film kapli tablet (30 tablet)
6259,rileptid 3 mg 20 tablet
6260,rileptid 3 mg 60 tablet
6261,rileptid 3 mg film kapli 30 tablet
6262,rileptid 4 mg 20 tablet
6263,rileptid 4 mg 60 tablet
6264,rileptid 4 mg film kapli tablet (30 tablet)
6265,rilutek 50 mg 56 film tablet
6266,rimobolan ampul 100 mg/1 ml 1 ampul
6267,"rimonal p %0.15 goz damlasi, cozelti"
6268,rinacheck kan sekeri olcum cihazi
6269,rinacheck kan sekeri olcum cihazi kontrol solusyonu ( normal ve yuksek)
6270,rinacheck kan sekeri olcum test cubugu
6271,rinafine steril insulin kalem igne ucu 30gx8mm
6272,rinafine steril insulin kalem igne ucu 31gx5mm
6273,rinafine steril insulin kalem igne ucu 31gx6mm
6274,rinafine steril insulin kalem igne ucu 31gx8mm
6275,rinafine steril insulin kalem igne ucu 32gx4mm
6276,ringer biosel enjektabl sol. 1000 ml setli sise
6277,ringer biosel enjektabl sol. 1000 ml setsiz sise
6278,ringer biosel enjektabl sol. 500 ml setli sise
6279,ringer biosel enjektabl sol. 500 ml setsiz sise
6280,ringer laktat biosel enjektabl sol. 1000 ml setli sise
6281,ringer laktat biosel enjektabl sol. 500 ml setli sise
6282,ringer pvc 1000 ml(setli) 
6283,ringer pvc 1000 ml(setsiz)
6284,ringer pvc 2000 ml(setli)
6285,ringer pvc 2000 ml(setsiz)
6286,ringer solusyonu 1000 ml (cam sise) setli
6287,ringer solusyonu 1000 ml (cam sise) setsiz
6288,ringer solusyonu 500 ml (cam sise) setli
6289,ringer solusyonu 500 ml (cam sise) setsiz
6290,"rinobek 100 mcg nasal sprey, suspansiyon"
6291,rinoclenil 100 mcg 200 doz nasal sprey
6292,"rinoclenil 100 mcg nazal sprey, suspansiyon (120
doz)"
6293,rinvoq 15 mg uzatilmis salimli tablet (28 adet)
6294,ripatrin 10 mg 20 tablet
6295,ripazol 10 mg 28 agizda dagilan tablet
6296,ripazol 5 mg agizda dagilan 28 tablet
6297,ripesil 0.5 mg film kapli tablet (20 tablet)
6298,ripesil 1 mg fi̇lm kapli tablet
6299,ripesil 2 mg fi̇lm kapli tablet
6300,ripesil 3 mg fi̇lm kapli tablet
6301,ripesil 4 mg fi̇lm kapli tablet
6302,risbone d3 150 mg/5600 i.u. film kapli tablet (3 film tablet)
6303,"risonel %0,05 suspansiyon iceren burun spreyi"
6304,risperdal 1 mg 20 film tablet
6305,risperdal 1 mg/ml oral cozelti
6306,risperdal 2 mg 20 film tablet
6307,risperdal 3 mg 20 film tablet
6308,risperdal 4 mg 20 film tablet
6309,risperdal consta 25 mg im enjeksiyonluk uzatilmis salimli suspansiyon
6310,"risperdal consta 37,5 mg im enjeksiyonluk uzatilmis salimli suspansiyon"
6311,risperdal consta 50 mg im enjeksiyonluk uzatilmis salimli suspansiyon
6312,ritaline 10 mg 30 tablet
6313,ritmoll 150 mg film kapli tablet (30 tablet)
6314,ritmoll 300 mg film kapli tablet (30 tablet)
6315,rivelime 10 mg 21 sert kapsul
6316,rivelime 15 mg 21 sert kapsul
6317,"rivelime 2,5 mg sert kapsul (21 kapsul)"
6318,rivelime 20 mg sert kapsul (21 kapsul)
6319,rivelime 25 mg 21 sert kapsul
6320,rivelime 5 mg 21 sert kapsul
6321,"rivelime 7,5 mg sert kapsul (21 kapsul)"
6322,rivoclon 2 mg 30 tablet
6323,"rivoclon 2.5 mg/1 ml oral damla, cozelti (10 ml)"
6324,rivoksar 10 mg film kapli tablet (10 tablet)
6325,rivoksar 15 mg film kapli tablet (28 tablet)
6326,rivoksar 20 mg film kapli tablet (28 tablet)
6327,rivotril 2 mg 30 tablet
6328,"rivotril 2,5 mg 1 ml damla"
6329,rixper 1 mg  30 film tablet
6330,rixper 2 mg  30 film tablet
6331,rixper 3 mg  30 film tablet
6332,rixper 4 mg 30 film tablet
6333,rizoprol 5 mg 30 film tablet
6334,rodinir 300 mg kapsul (10 kapsul)
6335,rodinir 300 mg kapsul (20 kapsul)
6336,"rolastym aerosol 160 mcg/4,5 mcg olculu 120 doz inhaler"
6337,"rolastym aerosol 160 mcg/4,5 mcg olculu 60 doz inhaler"
6338,rolastym aerosol 320 mcg/9 mcg olculu 60 doz inhaler
6339,"rolastym aerosol 80 mcg/4,5 mcg suspansiyon iceren olculu doz inhaler (120 doz)"
6340,rolastym combi 12/200 mcg inhalasyon icin toz iceren 60 kapsul
6341,rolastym combi 12/400 mcg inhalasyon icin toz iceren 60 kapsul
6342,romactil forte 60 mg kapsul (20 adet)
6343,romatim 50 gr jel
6344,romezon dr 1 mg 30 tablet
6345,romezon dr 2 mg 30 tablet
6346,romezon dr 5 mg 30 tablet
6347,rompag 25 mg film kapli tablet (14 tablet)
6348,rompag 50 mg film kapli tablet (14 tablet)
6349,ronidro 5 mg/100 ml iv infuzyon icin cozelti iceren 1 flakon
6350,"ronkotol 2,5 mg/2,5 ml nebulizasyon icin inhalasyon cozeltisi iceren tek dozluk 20 flakon"
6351,ronsenglob %5 100 ml iv infuzyon icin cozelti iceren   flakon
6352,rosucor 10 mg 28 film tablet
6353,rosufix 10 mg 28 film tablet
6354,rosustar 10 mg 28 film kapli tablet
6355,rosustar 20 mg 28 film kapli tablet
6356,rosustar 40 mg 28 film kapli tablet
6357,rosuvas 10 mg 28 film tablet
6358,rosuvas 20 mg 28 film tablet
6359,rotaleptin 300 mg 50 kapsul
6360,"rotarix 1,5 ml oral suspansiyon iceren tup (1 tup)"
6361,"rotateq canli, oral, pentavalan rotavirus asisi"
6362,rovaran 15 mg sert kapsul (28 kapsul)
6363,rovaran 20 mg sert kapsul (28 kapsul)
6364,roxin 500 mg 14 tablet
6365,roxin 750 mg 14 tablet
6366,roxsit 1000 tsu/ml enjeksiyonluk suspansiyon (alternaria)
6367,roxsit 1000 tsu/ml enjeksiyonluk suspansiyon (cimenler)
6368,roza % 2 30 gr krem
6369,roza 30 gr jel
6370,rozlytrek 100 mg sert kapsul (30 kapsul)
6371,rozlytrek 200 mg sert kapsul (90 kapsul)
6372,runomex fort 15 mg 10 tablet
6373,rupafin 10 mg 20 tablet
6374,rupatek 10 mg 20 tablet
6375,rupax 10 mg 20 tablet
6376,ruxience 100 mg/10 ml i.v. infuzyonluk cozelti hazirlamak icin konsantre 
6377,ruxience 500 mg/50 ml i.v. infuzyonluk cozelti hazirlamak icin konsantre
6378,r-x 1 g/ml suspansiyon (240 ml)
6379,r-x suspansiyon 150 gr 240 ml
6380,rydapt 25 mg yumusak kapsul (112 kapsul)
6381,rytmonorm 150 mg 30 film tablet
6382,rytmonorm 300 mg 30 film tablet
6383,ryzodeg flextouch 100 u/ml sc enjeksiyonluk cozelti iceren kullanima hazir kalem (5 kalem)
6384,"ryzodeg penfill 100 u/ml enjeksiyonluk cozelti
iceren kartus (5 kartus)"
6385,sab simplex suspansiyon 30 ml
6386,sabalaks 10 gr lavman
6387,sabril 500 mg 100 tablet
6388,safecaine %3 enjeksiyonluk cozelti iceren ampul
6389,safrax 250 mg 100 kapsul
6390,salagen 5 mg 84 film kapli tablet
6391,salazopyrin 500 mg 50 enterik tablet
6392,salmiden 500 mg 100 ent. tablet 
6393,salofalk 500 mg 30 supozituar
6394,salres 100 mcg inhalasyon icin olculu dozlu aerosol 200 doz
6395,salres 2 mg/5 ml surup (150 ml)
6396,"salres 2,5 mg /2,5 ml nebulizasyon icin tek dozluk inhalasyon cozeltisi iceren flakon (20 flakon)"
6397,samsca 15 mg 10 tablet
6398,sandimmun 50 mg 10 ampul
6399,sandimmun-neoral 100 mg 50 kapsul
6400,sandimmun-neoral 100 mg 50 ml solusyon
6401,sandimmun-neoral 25 mg 50 kapsul
6402,"sandomigran 0,5 mg 30 draje"
6403,"sandostatin 0,1 mg 5 ampul"
6404,sandostatin lar 10 mg 1 flakon
6405,sandostatin lar 20 mg 1 flakon
6406,sandostatin lar 30 mg 1 flakon
6407,"saneloc 100 mg degistirilmis salimli film kapli tablet
(20 tablet)"
6408,saneloc 25 mg kontrollu salimli film kapli tablet (20 tablet)
6409,saneloc 25 mg kontrollu salimli film kapli tablet (30 tablet)
6410,"saneloc 50 mg degistirilmis salimli film kapli tablet
(20 tablet)"
6411,"saneloc 50 mg degistirilmis salimli film kapli tablet
(30 tablet)"
6412,sanosita 100 mg film kapli tablet
6413,sanosita plus 50 mg/1000 mg film kapli tablet (56 tablet)
6414,sanosita plus 50 mg/500 mg film kapli tablet (56 tablet)
6415,sanosita plus 50 mg/850 mg film kapli tablet (56 tablet)
6416,santadine 6 mg degistirilmis salimli sert kapsul (10 adet)
6417,santafer 100mg/2ml ampul
6418,santafer 10mg / ml surup (150 ml)
6419,santafer fort 100 mg / 0.35 mg film kapli tablet (30 film kapli  tablet)
6420,santis 4 mg agizda dagilan 10 tablet
6421,santis 8 mg agizda dagilan 10 tablet
6422,santra 1 mg 28 tablet
6423,"sarclisa 100 mg / 5 ml infuzyonluk cozelti
hazirlamak icin konsantre"
6424,"sarclisa 500 mg / 25 ml infuzyonluk cozelti
hazirlamak icin konsantre"
6425,sarilen 100 mg 28 film tablet
6426,sarilen 50 mg 28 film tablet
6427,"sarilen plus 100 mg/12,5 mg 28 film tablet"
6428,sarilen plus 100 mg/25 mg 28 film tablet
6429,"sarilen plus 50 mg/12,5 mg 28 film tablet"
6430,"sarvastan 50/12,5 mg 28 film tablet"
6431,saxenda 6 mg/ml sc enjeksiyonluk cozelti iceren kullanima hazir 3 kalem
6432,sayfren 10 mg 28 tablet
6433,sayfren 15 mg 28 tablet
6434,sayfren 30 mg 28 tablet
6435,sayfren 5 mg 28 tablet
6436,"sebirox  % 1,5 100 ml  sampuan"
6437,"sebraler 50 mcg inhalsyon tozu, 30 kapsul"
6438,"sebraler 50 mcg inhalsyon tozu, 90 kapsul"
6439,secita 10 mg film kapli tablet (28 film kapli  tablet) 
6440,secita 10 mg film kapli tablet (56 film kapli  tablet)
6441,secita 15 mg film kapli tablet (28 film kapli  tablet) 
6442,secita 20 mg film kapli tablet (28 film kapli  tablet) 
6443,secita 5 mg film kapli tablet (28 film kapli  tablet)
6444,secnidox 500 mg 4 film tablet
6445,sedadomid 200 mcg/2 ml iv konsantre infuzyon cozeltisi iceren 5 flakon
6446,sedergine vit-c 0.33 g / 0.2 g  efervesan tablet (10 tablet)
6447,sedoral 1g/2 ml enjeksiyonluk cozelti (10 ampul)
6448,sef 1 gr 16 tablet
6449,sef 1 gr 20 tablet
6450,sef 250 mg/5 ml oral suspansiyon icin kuru 100 ml toz
6451,sef 5 ml 250 mg 80 ml suspansiyon
6452,sef 500 mg 16 tablet
6453,sef 500 mg/5 ml oral suspansiyon icin kuru 100 ml toz
6454,sefal 25 mg 50 tablet
6455,sefal fort. 75 mg 20 tablet
6456,sefazol im 1 gr 1 flakon
6457,sefazol im 250 mg 1 flakon
6458,sefazol im 500 mg 1 flakon
6459,sefbaktam 1g/1g im/iv enjeksiyonluk cozelti icin toz iceren flakon (1 adet flakon+cozucu)
6460,seffur 750 mg im enjeksiyonluk toz iceren flakon
6461,seffur 750 mg/iv enjeksiyonluk toz iceren flakon
6462,sefotak 1000 mg 1 flakon
6463,sefotak 500 mg 1 flakon
6464,sefpodo  200 mg film tablet  (20 tablet )
6465,sefpodo 200 mg film kapli tablet (10 tablet )
6466,sekrol 30 mg 150 ml surup
6467,sekrol pediatrik 15 mg 150 ml surup
6468,selectra 100 mg film kapli tablet (28 tablet)
6469,selectra 25 mg film kapli tablet (28 tablet)
6470,selectra 50 mg  film kapli tablet (28 tablet)
6471,"selfleks ciprasel 200 mg/100 ml iv infuzyon cozeltisi (1 pvc torba, 100 ml)"
6472,selincro 18 mg 14 film kapli tablet
6473,selkap 200 mg 30 sert kapsül
6474,seloparin 25000 iu/5 ml enjeksiyonluk cozelti iceren 1 flakon
6475,selovita-d3 300000 iu/ml im/oral 1 ampul
6476,selovita-d3 50000 iu/15 ml oral damla 1 şi̇şe
6477,selovita-k1 10 mg/ml enjeksiyonluk cozelti (5 adet)
6478,seltavir 75 mg sert kapsul (10 adet)
6479,semotidin 200 mcg / 2 ml i.v. infuzyonluk cozelti hazirlamak icin konsantre ( 5 flakon )
6480,sempriban 150 mg 3 tablet
6481,sempriban 3 mg/3 ml iv steril enjeksiyonluk cozelti iceren 1 ampul
6482,sennalax 20 mg enterik tablet (20 tablet)
6483,sennotab 20 mg tablet (40 adet)
6484,sensifine insulin kalem ignesi 4 mm
6485,sensifine insulin kalem ignesi 5 mm
6486,"septix 2 mg/ml + 0,5 mg/ml mentollu oral sprey, cozelti (30 ml)"
6487,"septonat %0,12 +%0,15 gargara"
6488,sequa 25 mg 30 film tablet
6489,sequa 300 mg 30 film tablet
6490,serair 50/250 mcg capsair inhalasyon icin toz iceren 60 kapsul
6491,serair 50/500 mcg capsair inhalasyon icin toz iceren 60 kapsul
6492,seralin 100 mg 28 centikli film tablet
6493,seralin 50 mg centikli 28 film tablet
6494,serdolect 12 mg 28 film tablet
6495,serdolect 16 mg 28 film tablet
6496,serdolect 20 mg 28 film tablet
6497,serdolect 4 mg 30 film tablet
6498,serebil special 80 mg 30 film kapli tablet
6499,seretide 100 mcg 60 doz diskus
6500,seretide 250 mcg 60 doz diskus
6501,seretide 500/50 mcg 60 doz diskus
6502,seretide inhaler 125 mcg 120 doz
6503,seretide inhaler 250 mcg 120 doz
6504,serex 100 mg 30 film tablet
6505,serex 200 mg 30 film tablet
6506,serex 25 mg 30 film tablet
6507,serex 300 mg 30 film tablet
6508,"seroderm %0,1 30 gr pomat"
6509,seroquel 100 mg 30 film tablet
6510,seroquel 200 mg 30 film tablet
6511,seroquel 25 mg 30 film tablet
6512,seroquel 300 mg 30 film tablet
6513,"serperil plus 4/1,25 30 tablet"
6514,"serum fizyolojik izotonik  %0,9 10 ml (10 ampul) "
6515,"serum fizyolojik izotonik %0,9 enjeksiyonluk cozelti, 10 ml"
6516,"serum fizyolojik izotonik %0,9 enjeksiyonluk cozelti, 2 ml"
6517,"serum fizyolojik izotonik %0,9 enjeksiyonluk cozelti, 5 ml"
6518,serum fizyolojik onfarma 10 ml 10 ampul
6519,serum physio.%0.9 10 ml 10 ampul
6520,serum sale %20 10 ml 10 ampul
6521,set lance - insulin kalem igne ucu - set lance - 31gx5mm 0.25x5 mm
6522,set lance - insulin kalem igne ucu - set lance - 31gx6mm 0.25x6 mm
6523,set lance - insulin kalem igne ucu - set lance - 31gx8mm 0.25x8 mm
6524,set lance - insulin kalem igne ucu - set lance - 32gx4mm 0.23x4 mm
6525,setapar 120 mg/5 ml surup (150 ml)
6526,setapar plus 250 mg/5 ml pediyatrik oral suspansiyon (150 ml)
6527,setfine insulin kalem ignesi 31g 0.25x5mm
6528,setfine insulin kalem ignesi 31g 0.25x6mm
6529,setfine insulin kalem ignesi 31g 0.25x8mm
6530,setfine insulin kalem ignesi 32g 0.23x4mm
6531,setinox 10 mg kapsul (28 kapsul)
6532,setinox 18 mg kapsul (28 kapsul)
6533,setinox 25 mg kapsul (28 kapsul)
6534,setinox 40 mg kapsul (28 kapsul)
6535,setinox 60 mg kapsul (28 kapsul)
6536,sevaren 800 mg 180 tablet
6537,sevastra 100 mg film kapli tablet
6538,sevastra 150 mg film kapli tablet
6539,sevikar 20/5 mg 28 film tablet
6540,sevikar 40/10 mg 28 film tablet
6541,sevikar 40/5 mg 28 film tablet
6542,sevpram 10 mg 28 film tablet
6543,"shingrix 0,5 ml im enjeksiyonluk cozelti hazirlamak icin toz ve suspansiyon (1 adet)"
6544,sibelium  5 mg 50 tablet
6545,sidatria 30 film tablet (245 mg + 200 mg)
6546,sidovis 375 mg/5 ml iv konsantre infuzyonluk cozelti
6547,sifloks 500 mg film kapli tablet (14 tablet)
6548,sifloks 750 mg 14 tablet
6549,sigmasporin microral 100 mg 30 yumusak kapsul
6550,sigmasporin microral 25 mg 50 yumusak kapsul
6551,"signifor 0,3 mg/1ml enjeksiyonluk cozelti (60 ampul)"
6552,"signifor 0,6 mg/1ml enjeksiyonluk cozelti (60 ampul)"
6553,"signifor 0,9 mg/1ml enjeksiyonluk cozelti (60 ampul)"
6554,siklocap 250 mg 40 kapsul
6555,sikloplejin % 1 5 ml damla
6556,silanem 500/500 mg iv inf. icin toz iceren flakon
6557,sildegra 100 mg 4 film tablet
6558,sildegra 50 mg 4 film tablet
6559,silder %1 50 ml sprey
6560,silfect 100 mg 4 film tablet
6561,silfect 50 mg 4 film tablet
6562,silmed 100 mg film kapli tablet (4 tablet)
6563,silnorm 100 mg 60 tablet
6564,silvadiazin 40 gr krem
6565,silvamed 40 gr krem
6566,silverdin % 1 40 gr krem
6567,silverdin % 1 400 gr krem
6568,silverdin plus 50 g krem
6569,"simbrinza 10 mg/ml + 2 mg/ml goz damlasi, suspansiyon (5 ml)"
6570,simendan 12.5 mg/5 ml i.v. infuzyonluk cozelti hazirlamak icin konsantre
6571,simflat 30 film tablet
6572,simgast 680 mg/80 mg/25 mg cigneme tableti (12 tablet)
6573,similac high energy 200 ml
6574,simkelma 5g oral suspansiyon hazirlamak i̇çi̇n toz-11 sase
6575,simponi 50 mg enj. coz.iceren kul. hazir 1 enjektor
6576,simponi 50 mg enj. coz.iceren kul. hazir 1 kalem
6577,simulect 20 mg 1 flakon
6578,sinair 10 mg film kapli tablet (28 film tablet)
6579,sinakort-a ampul
6580,"sinecod 7,5 mg 100 ml surup"
6581,sinecod depo 50 mg 20 tablet
6582,sinegra 100 mg 4 film tablet
6583,sinegra 50 mg 4 film tablet
6584,sineral 500 mg 10 film kapli tablet
6585,singulair 10 mg 28 tablet
6586,singulair 10 mg film kapli tablet (28 tablet)
6587,singulair 4 mg cigneme tableti (28 tablet)
6588,singulair 5 mg cigneme tableti (28 tablet)
6589,sinmont 10 mg film kapli tablet (28 film kapli tablet)
6590,sinmont 4 mg 28 cigneme tableti
6591,sinmont 5 mg 28 cigneme tableti
6592,sinocare vex pharma - safe aq kan şekeri̇ ölçüm çubuğu
6593,sinocare vex pharma - safe aq smart kan şekeri̇ ölçüm ci̇hazi
6594,sinopryl 10 mg 30 tablet
6595,sinopryl 20 mg 30 tablet
6596,sinopryl 5 mg 30 tablet
6597,sinoretik 30 tablet
6598,sinoretik fort 30 tablet
6599,sinupret forte kapli tablet (20 tablet)
6600,sinupret surup
6601,siplone 500 mg 10 film tablet
6602,sipraktin 5 ml 2mg 240 ml surup
6603,siprogut %0.3 5 ml goz damlasi
6604,siprogut %0.3 5 ml kulak damlasi
6605,"siprogut plus % 0,3 + % 0,1 kulak damlasi, cozelti (5 ml)"
6606,siprosan 500 mg 14 film tablet
6607,sirdalud 2 mg 30 tablet
6608,siroksil tirnak cilasi seti
6609,sistecs 300mg/3ml cozelti iceren 10 ampul
6610,"sistral %1,5 krem (40 gr)"
6611,sistral 20 gr krem
6612,sivex 50 gr losyon
6613,skyrizi 150 mg/ml enjeksiyonluk cozelti iceren kullanima hazir enjektor
6614,skyrizi 150 mg/ml enjeksiyonluk cozelti iceren kullanima hazir kalem
6615,skyrizi 75 mg/0.83 ml enjeksiyonluk cozelti iceren kullanima hazir enjektor (2 adet)
6616,slezol forte 1mg/ml + 3 mg/ml goz damlasi (1 sise 15 ml)
6617,sma anne sutu zenginlestirici 72x1 g sase
6618,sma premature 32x70 ml
6619,smart chek blood glucose 50 strip
6620,smartchek seker olcum cihazi
6621,smartfine insulin kalem igne ucu 31gx6mm
6622,smartfine insulin kalem igne ucu 31gx8mm
6623,smartfine insulin kalem ignesi 31gx5mm
6624,smartfine insulin kalem ignesi 32gx4mm
6625,snoxx 5 mg film kapli tablet (30 tablet)
6626,snoxx-met 2.5 mg/1000 mg film kapli tablet
6627,snoxx-met 2.5 mg/850 mg film kapli tablet
6628,sodyum bic.mol.%8.4 10 ml 10 ampul
6629,"sodyum bikar. %8,4 infuzyon icin cozelti iceren 10 ampul"
6630,sofexan 200 mg film kapli tablet
6631,softfin e insulin kalem ignesi 31gx5 mm
6632,softfin e insulin kalem ignesi 31gx6 mm
6633,softfin e insulin kalem ignesi 31gx8 mm
6634,softine insulin kalem ignesi 32gx4 mm
6635,sokol 200 ml cozelti
6636,solarvit 20.000 i.u. yumusak kapsul (14 kps)
6637,solerat jel 30 g
6638,solfesire 10 mg film kapli tablet (30 film kapli tablet)
6639,solfesire 5 mg  film kapli tablet (30 film kapli tablet)
6640,solian 200 mg 60 tablet
6641,solian 400 mg 30 film tablet
6642,soliday d3 300.000 i.u./ml im enjeksiyonluk cozelti (1 ampul)
6643,"soliday d3 50.000 i.u./15 ml oral damla,
cozelti"
6644,solifas 10 mg 30 film tablet
6645,solifas 5 mg 30 film tablet
6646,soliqua solostar 100 u/ml ve 33 mcg/ml sc enjeksiyonluk coz. iceren kullanima hazir enj. kalemi (3 kalem)
6647,soliqua solostar 100 u/ml ve 50 mcg/ml sc enjeksiyonluk coz. iceren kullanima hazir enj. kalemi (3 kalem)
6648,soliris 300 mg/30 ml konsantre infuzyon cozeltisi (1 flakon)
6649,soliron 10 mg 30 film tablet
6650,soliron 5 mg 30 film tablet
6651,solofine 4mm 31g igne ucu
6652,solofine 5mm 31g insulin kalem ignesi
6653,solofine 6mm 31g igne ucu
6654,solofine 7mm 31g insulin kalem ignesi
6655,solofine 8mm 31g igne ucu
6656,solopina 50 mg film kapli tablet (40 tablet)
6657,solopina 50 mg film kapli tablet (80 tablet)
6658,"solsitar 1,5 mg infuzyonluk cozelti hazirlamak icin toz ve cozucu"
6659,somatuline autogel 120 mg uzatilmis salimli enjeksiyonluk cozelti iceren kullanima hazir siringa 
6660,somatuline autogel 60 mg uzatilmis salimli enjeksiyonluk cozelti iceren kullanima hazir siringa 
6661,somatuline autogel 90 mg uzatilmis salimli enjeksiyonluk cozelti iceren kullanima hazir siringa 
6662,somavert 10 mg 30 flakon
6663,somavert 15 mg 30 flakon
6664,somavert 20 mg 30 flakon
6665,sormodren 4 mg 50 tablet
6666,sotacar 245 mg 30 film tablet
6667,spanol 40 mg film kapli tablet (30 film kapli tablet)
6668,spasmex 30 mg 50 tablet
6669,spasmomen 40 mg 30 film tablet
6670,spasmo-panalgine 125 mg 10 supozituar
6671,spazben 10 mg film kapli tablet (30 tablet)
6672,spazben 5 mg film kapli tablet (30 tablet)
6673,spazmol plus 20 film tablet
6674,spazmotek 20 mg 6 ampul
6675,spazmotek plus film kapli 20 tablet
6676,spazzi 60 mg/300 mg yumusak kapsul (40 kapsul)
6677,spinraza 12 mg/5 ml intratekal enjeksiyonluk cozelti
6678,spiract 18 mcg inhalasyon tozu (30 kapsul)
6679,spiriva 18 mcg 30 inhalasyon kapsulu
6680,sporanox 10 mg/ml oral cozelti
6681,"spravato 28 mg burun spreyi, cozelti (2 adet)"
6682,"spravato 28 mg burun spreyi, cozelti (3 adet)"
6683,sprycel 20 mg 60 film kapli tablet
6684,sprycel 50 mg 60 film kapli tablet
6685,sprycel 70 mg 60 film kapli tablet
6686,spylacton 100 mg 16 film tablet
6687,spylacton 25 mg 20 film tablet
6688,"stablon 12,5 mg 60 tablet"
6689,stafine %1 viskoz goz damlasi 5 gr
6690,stafine %2 krem (15 g )
6691,stafine %2 merhem (15 g)
6692,stafine 500 mg 15 film tablet
6693,stafine cort %2 + %0.1 krem (30 g)
6694,stafine h %2 + %1 krem (30 g)
6695,stage 10 mg 28 film tablet
6696,stage 20 mg 28 film tablet
6697,stamic 40 mg 28 enterik tablet
6698,stelara 130 mg / 26 ml infuzyonluk cozelti hazirlamak icin konsantre
6699,stelara 45 mg enjeksiyonluk cozelti iceren kullanima hazir enjektor
6700,stelara 90 mg enjeksiyonluk cozelti iceren kullanima hazir enjektor
6701,stiderm 30 g jel
6702,stilex 30 gr jel
6703,stilfine insulin kalem ignesi 31gx5 mm
6704,stilfine insulin kalem ignesi 31gx6 mm
6705,stilfine insulin kalem ignesi 31gx8 mm
6706,stilfine insulin kalem ignesi 32gx4 mm
6707,stilizan 1 mg 30 draje
6708,stilizan 2 mg 30 draje
6709,stilizan 5 mg 30 draje
6710,stivarga 40 mg 84 film kapli tablet
6711,stocrin 600 mg 30 film tablet
6712,strattera 10 mg 28 kapsul
6713,strattera 18 mg 28 kapsul
6714,strattera 25 mg 28 kapsul
6715,strattera 4 mg/ml oral cozelti (100 ml)
6716,strattera 40 mg 28 kapsul
6717,strattera 60 mg 28 kapsul
6718,strattera 80 mg 28 kapsul
6719,streptomycine-ie 1 gr 1 flakon
6720,stribild 30 film kapli tablet
6721,submex 10 mg/0.4 ml enjeksiyonluk cozelti iceren kullanima hazir siringa (1 siringa)
6722,submex 15 mg/0.6 ml enjeksiyonluk cozelti iceren kullanima hazir siringa (1 siringa)
6723,submex 20 mg/0.8 ml enjeksiyonluk cozelti iceren kullanima hazir siringa (1 siringa)
6724,submex 25 mg/ ml enjeksiyonluk cozelti iceren kullanima hazir siringa (1 siringa)
6725,"suboxone 2 mg/0,5 mg 28 dilalti tablet"
6726,suboxone 8 mg/2 mg 28 dilalti tablet
6727,sudafed 30 mg 150 ml surup
6728,sudafed 60 mg 30 tablet
6729,sudafed expektoran 150 ml surup
6730,sugacent 200 mg/2 ml iv enjeksiyonluk cozelti (10 flakon)
6731,sugaver 200 mg/2 ml i.v. enjeksiyonluk cozelti (10 ampul)
6732,sugawake 200 mg/2 ml iv enjeksiyonluk cozelti (10 flakon)
6733,sukrofer 100 mg/5 ml iv inf. kon. coz. iceren 5 ampul
6734,sulbaksit im 1000 mg 1 flakon
6735,sulbaksit im 500 mg 1 flakon
6736,sulbaksit im/iv 1000 mg 1 flakon
6737,sulbaksit im/iv 250 mg 1 flakon
6738,sulbaksit im/iv 500 mg 1 flakon
6739,sulcid 250 mg/5 ml oral suspansiyon haz. icin kuru toz 100 ml
6740,sulcid 375 mg 10 film tablet
6741,sulcid 375 mg 14 film tablet
6742,sulcid 375 mg 20 film tablet
6743,sulcid 750 mg 10 film tablet
6744,sulcid 750 mg 14 film tablet
6745,sulcid im 1 gr 1 flakon
6746,sulcid im 250 mg 1 flakon
6747,sulcid im 500 mg 1 flakon
6748,sulcid im/iv 1 gr 1 flakon
6749,sulcid im/iv 500 mg 1 flakon
6750,sulcid iv 250 mg 1 flakon
6751,sulcid oral 250 mg 70 ml suspansiyon
6752,sulcid ped. 250 mg 40 ml suspansiyon
6753,sulfafur %10 krem (30g)
6754,sulfarhin burun merhemi (12 g)
6755,sulfazink fort 30 mg/5 ml surup
6756,"sulgen 30000 tu/ml dilalti sprey, cozelti (akarlar)"
6757,"sulgen 30000 tu/ml dilalti sprey, cozelti (alternaria)"
6758,"sulgen 30000 tu/ml dilalti sprey, cozelti (cimenler)"
6759,sulidin jel  % 1 30 gr topikal jel
6760,sulidin plus %1 + %5 likit jel  50 g
6761,sulinex 150 mg xr 28 tablet
6762,sulinex 225 mg xr 28 tablet
6763,"sulinex 37,5 mg xr 28 tablet"
6764,sulinex 75 mg xr 28 tablet
6765,suljel jel % 3 30 gr jel
6766,sulpir 50 mg 30 kapsul
6767,sultamat 250 mg 40 ml suspansiyon
6768,sultamat 250 mg 70 ml suspansiyon
6769,sultamat 375 mg 10 tablet
6770,sultamat 750 mg 10 tablet
6771,sulzon 1 gr im/iv enjeksiyonluk toz iceren flakon
6772,sulzon 2 gr im/iv enjeksiyonluk toz iceren flakon
6773,"sundrop-d3 150.000 iu/10 ml oral damla, cozelti"
